Date of Exam/Incident,Exam Name,Conducting Body,Conducting Body Type,Area(s) of Incident,Leak Confirmation Status,Action taken,Note about action Taken,Note about incident,References,Appeared Students,Record Source,year,Category,Outcome
05-12-2018, BCS-031,Indria Gandhi National Open University,Central,Delhi,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media from a center,"IGNOU Question Paper Leak: Police Register FIR, Quiz Students (ndtv.com)",,Kaggle original dataset,2018,University,"Cancelled/Postponed, no re-exam recorded"
09-12-2018,Gujarat Police Constable Recruitment,Gujarat Police Recruitment Board,State,Gujarat,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media before exam,3 more arrested in Gujarat Police Constable Recruitment paper leak case: Fresh exam on January 6 - India Today,,Kaggle original dataset,2018,Police & Defence,"Cancelled/Postponed, no re-exam recorded"
24-02-2019,Mother India Language Exam,"Board of Secondary Education, Odisha",State,Odisha,confirmed,Legal action taken,No Rexam,Paper leaked on social media,5 school teachers arrested in Odisha Matric paper leak case for circulating images - India Today,,Kaggle original dataset,2019,School Board,No judgement — dismissed or no action
25-02-2019,High School Mathematics Exam,Bihar School Examination Board,State,Bihar,confirmed,Legal action taken,No Rexam,Paper leaked on social media before exam,Bihar Board Class 10 Mathematics Question Paper Leaked - AglaSem News,,Kaggle original dataset,2019,Medical,No judgement — dismissed or no action
28-08-2019,JE Exam,Railway Recruitment Board,Central,Maharashtra,confirmed,Legal action taken,No Rexam,Screenshots of questions on social media,"RRB JE exam paper leak row: Two booked, question paper circulated from Thane | Jobs News - The Indian Express",,Kaggle original dataset,2019,Engineering,No judgement — dismissed or no action
17-02-2020,Mathematics Prepatory Exam,Karnataka School Examination and Assessment Board,State,Karnataka,confirmed,Legal action taken,No Re-exam,Paper leaked on social media,SSLS preparatory exams: 14 students detained for maths paper leak | Bengaluru News - Times of India (indiatimes.com),,Kaggle original dataset,2020,Medical,No judgement — dismissed or no action
04-09-2020,2019 PSC Police Constable Exam,Kerala Public Service Commission,State,Kerala,accused,Legal action taken,No Re-exam,Question paper leaked on social media,Kerala PSC question paper leak case: HC issues notice to state government - India Today,,Kaggle original dataset,2020,Police & Defence,No judgement — dismissed or no action
06-08-2021,General Department Competitive Exam,Railway Recruitment Board,Central,Uttar Pradesh,confirmed,No Rexam,Legal action against exam mafia,Paper leaked on social media,GDCE Exam: 11 Railway Employees Under CBI Scanner in Another Paper Leak Scandal Involving Rs 4 Lakh - News18,,Kaggle original dataset,2021,Other Recruitment,No judgement — dismissed or no action
02-09-2021,JEE MAINS,National Testing Agency,Central,All India,confirmed,Chargesheet,"Legal action against solvers, but no re-exam",Solving of question paper via remote access at a exam center,JEE Main 2021 Paper Leak Case: What Has Happened So Far (ndtv.com),,Kaggle original dataset,2021,Engineering,No judgement — dismissed or no action
14-09-2021,National Law aptitude Test,National Law School of India University,Central,All India,accused,,"Question leaked after exam started, so does not affect exam",Paper leaked on social media,'Does Not Affect Integrity Of Exam': NLSIU On Claims Of NLAT Re-Test Paper Leak (livelaw.in),,Kaggle original dataset,2021,Medical,Legal/administrative action only
26-09-2021,Rajasthan Eligibility Examination for Teachers,"BOARD OF SECONDARY EDUCATION, Rajasthan",State,Rajasthan,confirmed,Chargesheet,No Rexam,Paper leaked even after internet shutdown,Enforcement Directorate arrests kingpin of paper leak in Rajasthan teachers' recruitment test | India News - Times of India (indiatimes.com),,Kaggle original dataset,2021,Teacher & Academia,No judgement — dismissed or no action
28-09-2021,Uttar Pradesh Teacher Eligbility Test,"Department of Basic Education, Uttar Pradesh",State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,"UPTET paper leak: Official suspended, 1 more arrested | Lucknow News - The Indian Express",,Kaggle original dataset,2021,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded"
04-12-2021,UKSSSC Exam,Uttarakhand Subordinate Staff Selection Commission,State,Uttarakhand,confirmed,Exam Cancelled,Five more upcoming exam cancelled,Paper leaked on social media,Five recruitment exams cancelled in Uttarakhand after UKSSSC paper leak investigation - India Today,,Kaggle original dataset,2021,Other Recruitment,"Cancelled/Postponed, no re-exam recorded"
12-12-2021,Head Clerk,Gujarat Subordinate Service Selection Board,State,Gujarat,accused,Legal action taken,No Rexam,Selling of question papers,"8 held, FIR against 11 as Gujarat govt admits to GSSSB paper leak | Gandhinagar News - The Indian Express",,Kaggle original dataset,2021,School Board,No judgement — dismissed or no action
13-12-2021,MHADA Exam,Maharashtra Housing and Area Development Authority,State,Maharashtra,confirmed,Exam Cancelled,Legal action taken against involved people,3 Persons trying to leak paper,MHADA cancels exam after 3 held for bid to leak question paper | Education - Hindustan Times,,Kaggle original dataset,2021,Other Recruitment,"Cancelled/Postponed, no re-exam recorded"
17-02-2022,High School Mathematics Exam,Bihar School Examination Board,State,Bihar,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,"Bihar Board 10th Maths Exams Cancelled After Paper Leak, Cheating Allegations, Re-exam on March 24, Details here (indianexpress.com)",,Kaggle original dataset,2022,Medical,"Cancelled/Postponed, no re-exam recorded"
27-03-2022,sub-inspector recruitment examination,Jammu and Kashmir Services Selection Board,State,Jammu and Kashmir,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,ED arrests Haryana man in J&K paper leak case | India News - Times of India (indiatimes.com),,Kaggle original dataset,2022,Police & Defence,"Cancelled/Postponed, no re-exam recorded"
30-03-2022,Class 12th English,Uttar Pradesh State Board of High School and Intermediate Education,State,Uttar Pradesh,confirmed,Exam Cancelled,Exam Cancelled in 24 districts,Paper leaked on social media 5 hours before the exam,"UP Board Class 12 English paper leak case: 7 more arrested, total 24 held so far | Latest News India - Hindustan Times",,Kaggle original dataset,2022,Medical,"Cancelled/Postponed, no re-exam recorded"
08-05-2022,BPSC 67th Exam,Bihar Public service Comission,State,Bihar,confirmed,Exam Cancelled,Legal action ,Paper leaked on social media,"BPSC: BPSC 67th Paper Leak 2022, Probe Ordered by Bihar Public Service Commission | - Times of India (indiatimes.com)",,Kaggle original dataset,2022,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
31-07-2022,Lekhpal Exam,The Uttar Pradesh Subordinate Services Selection Commission ,State,Uttar Pradesh,accused,Legal action taken,"Legal action against solvers, but no re-exam",Proxy candidates as solvers,"UP Lekhpal exam: 'Solvers', candidates among 21 arrested; Akhilesh alleges paper 'leak' – ThePrint – PTIFeed",,Kaggle original dataset,2022,Other Recruitment,No judgement — dismissed or no action
26-08-2022,Assistant Civil Engineer,Arunachal Pradesh Public Service Commission,State,Arunachal Pradesh,confirmed,Exam Cancelled,Legal action,Paper leaked on social media,Arunachal paper leak scam: APPSC cancels AE (Civil) recruitment exam (arunachal24.in),,Kaggle original dataset,2022,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
10-09-2022,JE,Himachal Pradesh Staff Selection Commission,State,Himachal Pradesh,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,HPSSC paper leak case: Vigilance bureau SIT files fresh FIR against four persons - Hindustan Times,,Kaggle original dataset,2022,Engineering,"Cancelled/Postponed, no re-exam recorded"
12-09-2022,Forest Guard Recruitment,Rajasthan Staff Selection Board,State,Rajasthan,accused,Legal action taken,No Rexam,Some candiates accessing paper before the exam,Forest guard exam 2022 paper was leaked: Rajasthan police | Jaipur News - Times of India (indiatimes.com),,Kaggle original dataset,2022,Other Recruitment,No judgement — dismissed or no action
28-09-2022,Diploma in Elementary Education,West Bengal Board of Primary Education,State,West Bengal,accused,Legal action taken,No Rexam,Paper leaked on social media,West Bengal: D.El.Ed paper leaks an hour before exam | Kolkata News - Times of India (indiatimes.com),,Kaggle original dataset,2022,School Board,No judgement — dismissed or no action
16-10-2022,Group 1 Prelims,Telangana State Public Service Commission,State,Telangana,confirmed,Legal action taken,No Re-exam,Paper leaked on social media,Group I prelims exam paper leaked to 20 persons: Police | Group I prelims exam paper leaked to 20 persons: Police (deccanchronicle.com),,Kaggle original dataset,2022,Civil Services & Govt Jobs,No judgement — dismissed or no action
21-12-2022,Class 2nd Teacher Recruitment : GK Question Paper,Rajasthan Public Service Commission ,State,Rajasthan,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,Rajasthan 2nd grade teacher recruitment exam paper leaked; 44 held - The Hindu,,Kaggle original dataset,2022,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded"
03-03-2023,Mathematics Exam,Maharashtra State Board of Secondary and Higher Secondary Education,State,Maharashtra,confirmed,Legal action taken,"Legal action against involved students, but no re-exam",Question paper viral on social media,Now HSC Maths paper leaked in Buldhana 30 minutes before scheduled time - Hindustan Times,,Kaggle original dataset,2023,School Board,No judgement — dismissed or no action
05-03-2023, Assitant Civil Engineer,Telangana State Public Service Commission,State,Telangana,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,Telangana State Public Service Commission cancels civil exam over paper 'leak' - India Today,,Kaggle original dataset,2023,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
06-03-2023,High School Mathematics Exam,Assam Board of Secondary Education,State,Assam,confirmed,Exam Cancelled,Exam Cancelled in exam centers where irregularties reported, irregularties reported at some exam centers,Assam HSLC exam cancelled after question paper leak; CM summons SEBA secretary - Hindustan Times,,Kaggle original dataset,2023,Medical,"Cancelled/Postponed, no re-exam recorded"
18-03-2023,Class 12th Exam,Madhya Pradesh Board of Secondary Education,State,Madhya Pradesh,accused,dismissed claim,Fake news suggested,Claim : question paper leaked  on social media,Police arrests 4 accused in Madhya Pradesh Board Class 10 and 12 question paper leak case - CNBC TV18,,Kaggle original dataset,2023,School Board,No judgement — dismissed or no action
03-04-2023,High School Hindi & Telgu ,Telangana Board of intermediate Education,State,Telangana,confirmed,Suspension,Suspension of officials,Paper leaked on Whatsapp at a school,"Class 10 question paper leaked in Telangana, 3 officials suspended - India Today",,Kaggle original dataset,2023,Medical,Legal/administrative action only
18-05-2023,Class 12th English Exam,Punjab School Education Board,State,Punjab,confirmed,Exam Cancelled,"Redsitributed leaked paper 2nd time, So, again re-exam for 185 students",Paper leaked on social media,"Punjab School Education Board exam: Leaked question papers distributed again, Class 12 students to take exam a 3rd time | Chandigarh News - The Indian Express",,Kaggle original dataset,2023,Medical,Re-exam held or ordered
03-06-2023, Nursing Officer Recruitment Common Eligibility Test (NORCET-4),AIIMS,Central,All India,accused,Legal action taken,No Re-exam,Question paper  found on the phones,Students allege leak of AIIMS nursing officer exam paper | Delhi News - The Indian Express,,Kaggle original dataset,2023,Medical,No judgement — dismissed or no action
16-07-2023,Junior Engineer,Odisha Staff Selection Commission,State,Odisha,accused,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,"BJP, Congress attack Odisha government over OSSC recruitment paper leak | Latest News India - Hindustan Times",,Kaggle original dataset,2023,Engineering,"Cancelled/Postponed, no re-exam recorded"
20-07-2023,BBA Exam,Barkatullah University,State,Madhya Pradesh,accused,Legal action taken,Booked involved students,Question paper  found on the phones,4 students booked in BU's BBA 'paper leak' case | Bhopal News - Times of India (indiatimes.com),,Kaggle original dataset,2023,University,Legal/administrative action only
19-09-2023,Occupational English Test,Private Center,Private,Kerala,confirmed,Legal action taken,No Re-exam,Selling of question papers,Thrissur police nab 8 Kottayam natives behind OET question paper leak | Manorama English (onmanorama.com),,Kaggle original dataset,2023,Other Recruitment,No judgement — dismissed or no action
01-10-2023,Constable Exam,"Central Selection Board of Constables, Bihar",State,Bihar,confirmed,Exam Cancelled,Legal action and other exams postponed,Paper leaked on social media,SIT formed to probe into constable recruitment exam paper leak case in Bihar (newindianexpress.com),,Kaggle original dataset,2023,Police & Defence,"Cancelled/Postponed, no re-exam recorded"
22-12-2023,MBA first term exam,Savitribai Phule Pune University,State,Maharashtra,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media,"Pune: MBA exam paper leaked on WhatsApp, case registered | Pune News - The Indian Express",183.0,Kaggle original dataset,2023,Engineering,"Cancelled/Postponed, no re-exam recorded"
24-12-2023,Class 10 Bengali pre-board examination,Tripura Board of Secondary Education (TBSE),State,Tripura,confirmed,No action taken,No Re-exam,Paper leaked on social media before exam,Pre-board exam ‘paper leak’ in Tripura: AIDSO seeks stern action against culprits | North East India News - The Indian Express,,Kaggle original dataset,2023,School Board,No judgement — dismissed or no action
25-12-2023,Teacher Eligibility Test,West Bengal Board of Primary Education,State,West Bengal,accused,dismissed claim,Fake news suggested,Claim : paper leak,TET Paper Leak: Govt seeks report after TET paper leak on social media | Kolkata News - Times of India (indiatimes.com),,Kaggle original dataset,2023,Teacher & Academia,No judgement — dismissed or no action
26-12-2023,B.Tech CS Question Paper 5th Sem,Parul University,Private,Gujarat,confirmed,Exam Cancelled,Legal action taken against involved people,Selling of question papers,Leaking Exam Papers: Leaking BTech Exam Papers of Parul University Vadodara - Two Arrested | Vadodara News - Times of India (indiatimes.com),,Kaggle original dataset,2023,University,"Cancelled/Postponed, no re-exam recorded"
28-01-2024,JSSC CGL (JGGLCCE) 2023 exam,Jharkhand Staff Selection Commission (JSSC),State,Jharkhand,confirmed,"Paper-3 (GK) and then both exam days (28 Jan, 4 Feb) cancelled; SIT probe; arrests incl. Jharkhand Assembly under-secretary and sons",Exam scrapped and later re-conducted in Sept 2024; opposition sought CBI probe,GK paper with ~70 answers circulated on WhatsApp the evening before/during exam; ~6.5 lakh had applied,"""Jharkhand JSSC CGL 2024 Exam Canceled Following Paper Leak Reports; Former CM Demands CBI Enquiry"" — India.com, https://www.india.com/education/jssc-cgl-exam-2024-paper-leak-jharkhand-cgl-exam-canceled-following-paper-leak-former-cm-babulal-marandi-demands-cbi-enquiry-6689017/",54300.0,Added 2024-2026 (verified news sources),2024,Civil Services & Govt Jobs,Re-exam held or ordered
02-02-2024,Madhyamik (Class 10) board exams 2024,West Bengal Board of Secondary Education (WBBSE),State,West Bengal,confirmed,Candidates traced via QR codes on papers; registrations of offenders cancelled (Malda district),Board denied pre-exam leak — papers photographed and circulated on WhatsApp after exams began; exams not cancelled,"Bengali, English and History papers went viral on social media during exams on successive days; over 9 lakh candidates enrolled","""Madhyamik 2024: Registration of two candidates cancelled for 'paper leak'"" — Millennium Post, https://www.millenniumpost.in/bengal/madhyamik-2024-registration-of-two-candidates-cancelled-for-paper-leak-550570",,Added 2024-2026 (verified news sources),2024,School Board,"Cancelled/Postponed, no re-exam recorded"
05-02-2024,MP Board Class 10 Hindi exam,Madhya Pradesh Board of Secondary Education (MPBSE),State,Madhya Pradesh,accused,"5 persons detained by cyber police, FIR filed",MPBSE said viral paper did not match the actual Hindi paper; detentions were for spreading fake leak rumours,"Fake leaked Hindi paper circulated in Indore and on social media before exam; Telegram channels also sold fake papers for Rs 500-2,000","""MP Class 10 Board Exam 2024: 5 detained for spreading rumours of Hindi paper leak"" - Careers360, https://news.careers360.com/mp-class-10-board-exam-2024-5-detained-for-spreading-rumours-of-hindi-paper-leak/amp",,Added 2024-2026 (verified news sources),2024,School Board,No judgement — dismissed or no action
11-02-2024,Review Officer/Assistant Review Officer ,Uttar Pradesh Public Service Comission,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,Four more arrested in RO/ARO exam paper leak; Mastermind still elusive | Lucknow News - Times of India (indiatimes.com),,Kaggle original dataset,2024,Civil Services & Govt Jobs,"Cancelled/Postponed, no re-exam recorded"
15-02-2024,CBSE Class 10 and 12 Board Exams 2024 (fake leak claims),Central Board of Secondary Education (CBSE),Central,All India,accused,Advisory issued; monitoring with law enforcement; action under Unfair Means rules and IPC threatened,CBSE said leak claims were fake news by scammers demanding money; no actual leak established,YouTube/Telegram/social media accounts claimed access to 2024 papers ahead of exams beginning Feb 15; CBSE called claims baseless,"""CBSE alerts parents, students against fake news, rumours ahead of board exams 2024"" - Careers360, https://news.careers360.com/cbse-alerts-parents-students-against-fake-news-rumours-ahead-of-class-10-12-board-exams-2024/amp",,Added 2024-2026 (verified news sources),2024,School Board,No judgement — dismissed or no action
16-02-2024,High School English Exam,Assam Board of Secondary Education,State,Assam,accused,Claim dissmissed,dissmised as fake news,claim : question paper leaked from one center,Assam Education Minister Ranoj Pegu Dismisses HSLC Question Paper Leak Claims - News18,,Kaggle original dataset,2024,Medical,No judgement — dismissed or no action
17-02-2024,Constable Exam,Uttar Pradesh Police Recruitment and Promotion Board,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,Main accused in UP constable exam paper leak arrested: STF | Lucknow News - The Indian Express,,Kaggle original dataset,2024,Police & Defence,"Cancelled/Postponed, no re-exam recorded"
23-02-2024,Odisha HSC (Class 10) English paper,"Board of Secondary Education, Odisha",State,Odisha,accused,"No action; board rejected allegation, said no complaint received in 24 hours",Board VP denied leak; watermarks/barcodes introduced from 2025 to deter leaks,Purported video of English question paper and answer sheet went viral; leak alleged in Keonjhar and Mayurbhanj districts,"""Odisha Class 10 Board Exam 2024: BSE rejects question paper leak allegation"" - Careers360, https://news.careers360.com/odisha-board-rejects-question-paper-leak-allegation/amp",550000.0,Added 2024-2026 (verified news sources),2024,School Board,No judgement — dismissed or no action
29-02-2024,UP Board Class 12 (Intermediate) Maths & Biology papers,Uttar Pradesh Madhyamik Shiksha Parishad (UPMSP),State,Uttar Pradesh,confirmed,FIR lodged; mastermind arrested in Agra; Shri Atar Singh Inter College de-recognised,"Exam not cancelled — board said papers were shared on WhatsApp over an hour after exam began, sanctity not affected",Papers circulated at 3:10 pm during second shift from a college computer operator,"""UP Board Exam 2024 Paper Leak: UPMSP removes recognition of college from where papers were circulated"" — India TV News, https://www.indiatvnews.com/education/news/up-paper-leak-2024-uttar-pradesh-board-removes-recognition-of-shri-atar-singh-inter-college-agra-2024-03-01-919469",,Added 2024-2026 (verified news sources),2024,School Board,"Cancelled/Postponed, no re-exam recorded"
01-03-2024,HBSE Class 12 Urdu paper (Nuh),Board of School Education Haryana (BSEH),State,Haryana,confirmed,"Exam cancelled by board; FIR under Haryana Public Examination Act; Class 12 student apprehended; centre superintendent, observer and supervisor relieved of duty",Paper cancelled after copy went viral on social media; student later bailed after joining probe,"Urdu paper leaked from Govt Sr Sec School exam centre Tapkan, Nuh, and went viral on WhatsApp","""Class 12 student apprehended for leaking Haryana board Urdu question paper in Nuh"" - ThePrint, https://theprint.in/india/class-12-student-apprehended-for-leaking-haryana-board-urdu-question-paper-in-nuh/1986466/",,Added 2024-2026 (verified news sources),2024,Medical,"Cancelled/Postponed, no re-exam recorded"
17-03-2024,Civil Services Prelims,Jharkhand Public Service Commission,State,Jharkhand,accused,Reports Denied,dissmised as fake news,Video calimed that seal of question papers found broken,JPSC Conducts Civil Services Prelims: JPSC Conducts Civil Services Prelims Amid Paper Leak Controversy | Ranchi News - Times of India (indiatimes.com),,Kaggle original dataset,2024,Civil Services & Govt Jobs,No judgement — dismissed or no action
16-04-2024,Teacher Recruitment Exam,Bihar Public service Comission,State,Bihar,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,TRE 3.0 Paper Leak: Tre 3.0 Paper Leak Case: Five Key Accused Produced In Court | Patna News - Times of India (indiatimes.com),,Kaggle original dataset,2024,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded"
28-04-2024,VIT Engineering Exam,VIT,Private,All India,confirmed,Chargesheet,Legal action against exam mafia,Leaking of question paper via remote access at a exam center,Engineering entrance exam: STF arrests 2 for VIT question paper leak - Hindustan Times,,Kaggle original dataset,2024,Engineering,Legal/administrative action only
05-05-2024,NEET-UG 2024 (medical entrance),National Testing Agency (NTA),Central,All India,confirmed,"CBI probe ordered (June 2024); dozens arrested incl. Patna-Hazaribagh gang; NTA DG removed; Supreme Court monitored case; Public Examinations (Prevention of Unfair Means) Act invoked; re-test for 1,563 grace-mark candidates","SC held leak was real but localised (Patna/Hazaribagh), declined full cancellation as impact ""not systemic""; CBI filed chargesheets",Paper leaked/solved night before exam and circulated via WhatsApp; solver gang allegedly charged Rs 30-60 lakh per candidate,"""NEET-UG 2024 - Supreme Court Seeks NTA Response On Plea For CBI Probe On Alleged Paper Leak"" — LiveLaw, https://www.livelaw.in/top-stories/supreme-court-plea-for-cbi-investigation-neet-ug-2024-paper-leak-notice-issued-260490",2333297.0,Added 2024-2026 (verified news sources),2024,Medical,Re-exam held or ordered
28-05-2024,MBA Semster Exam,Devi Ahilya Vishwavidyalaya's (DAVV),State,Madhya Pradesh,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media before exam,Indore: Question Papers Of Two Subjects Of MBA In DAVV Leaked 15 Hours Before Exam: Both Exams Cancelled (freepressjournal.in),,Kaggle original dataset,2024,University,"Cancelled/Postponed, no re-exam recorded"
09-06-2024,ADC Recruitment Exam,Tripura Tribal Areas Autonomous District Council,State,Tripura,confirmed,Legal action taken,No Re-exam,Answer Key leaked before exam,adc exam’s answer key leaked one arrested | tripuratimes,,Kaggle original dataset,2024,Other Recruitment,No judgement — dismissed or no action
18-06-2024,UGC NET 2024,National Testing Agency,Central,All India,accused,No Rexam,Exam cancellation decision overruled by Supreme Court,accusation of paper leak,"Supreme Court upholds decision to cancel UGC NET 2024 exam, allows re-examination on August 21 | Mint (livemint.com)",,Kaggle original dataset,2024,Teacher & Academia,No judgement — dismissed or no action
23-06-2024,NEET-PG 2024 (medical PG entrance),National Board of Examinations in Medical Sciences (NBEMS),Central,All India,accused,Exam postponed hours before scheduled date (23 June) as precautionary measure; process robustness audit ordered; exam later held 11 Aug 2024,Postponed amid NEET-UG/UGC-NET leak wave and fraudster claims of selling papers; no actual leak established,"2,28,757 registered candidates in 292 cities affected by last-minute postponement","""NEET PG 2024 scheduled for June 23 postponed as precautionary measure, fresh date soon"" — The Tribune, https://www.tribuneindia.com/news/india/neet-pg-2024-scheduled-for-june-23-postponed-as-precautionary-measure-fresh-date-soon-633168",228757.0,Added 2024-2026 (verified news sources),2024,Medical,"Cancelled/Postponed, no re-exam recorded"
25-06-2024,Joint CSIR-UGC NET June 2024,National Testing Agency (NTA),Central,All India,accused,Exam (scheduled 25-27 June) postponed; later conducted 25-27 July 2024,Officially cited unavoidable circumstances/logistic issues; postponement widely reported as precaution amid apprehensions the exam could be compromised following NEET-UG/UGC-NET leaks,Part of June 2024 exam-integrity crisis that also saw UGC-NET cancelled and NTA DG removed,"""2024: Year of paper leaks, test cancellations, widespread protests and exam reforms"" — ThePrint (PTI), https://theprint.in/india/2024-year-of-paper-leaks-test-cancellations-widespread-protests-and-exam-reforms/2425821/",,Added 2024-2026 (verified news sources),2024,Teacher & Academia,"Cancelled/Postponed, no re-exam recorded"
30-06-2024,Agriculture Development Officers ,Punjab Public Service Comission,State,Punjab,accused,,No Rexam,Claim: Offical demanded bribe for leaking paper,"Now, ADO recruitment exam in Punjab under paper leak cloud; Opposition tears into state govt (indianexpress.com)",,Kaggle original dataset,2024,Civil Services & Govt Jobs,No judgement — dismissed or no action
06-07-2024,Foreign Medical Graduate Examination,National Board of Examinations in Medical Sciences (NBEMS),Central,Kerala,accused,Legal action taken and claim dismissed,"No Rexam and checking of evidence, claim dismissed",Paper leaked on social media,‘So far no evidence’: Kerala Police on FMGE ‘paper leak’ | Thiruvananthapuram News - The Indian Express,,Kaggle original dataset,2024,Medical,No judgement — dismissed or no action
04-08-2024,MBA 1st year Exam,Pondicherry University,Central,Pondicherry,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media before exam,"Pondicherry University First-year MBBS Exam Paper Leaked, Test Postponed - News18",,Kaggle original dataset,2024,University,"Cancelled/Postponed, no re-exam recorded"
